"Position","age","num_pieces","name","price","alternative_text","link"
1,"10+",267,"Harry Potter™ en Cho Chang","€19,99","primary","https://www.lego.com/nl-nl/product/harry-potter--cho-chang-40616"
2,"10+",601,"Leraren van Zweinstein™","€39,99","primary","https://www.lego.com/nl-nl/product/professors-of-hogwarts-40560"
3,"10+",155,"EVE & WALL•E","€14,99","primary","https://www.lego.com/nl-nl/product/eve--walle-40619"
